reference	verse	book
Esther 4:3	[When the Jews [that lived in Xerxes' kingdom] heard about the new law] the Jews were very sad. The Jews did not eat food. And the Jews cried loudly. Many Jews wore clothes [that were made of sackcloth]. and many Jews put ashes on the Jews' bodies.	Esther
Nahum 1:12	So Yahweh says, ["That king's army has many soldiers]. And soldiers [that are from many countries] help those soldiers. But I(Yahweh) will destroy all of those soldiers. People [who are living in Judah], I(Yahweh) punished you(people). But I(Yahweh) will stop punishing you(people).	Nahum
Acts 2:9	So God decided [to clean the earth].  God warned me(Noah).  God told me(Noah) [to build a boat].  This boat will save our(Noah's) family and all of the animals.  All other living creatures will die. And on the seventh day God rested.	Acts
Genesis 31:31	Then Jacob said to Laban, ["I(Jacob) did not tell you(Laban) [that I(Jacob) was leaving] [because I(Jacob) did not want [you(Laban) to take-away your(Laban's) daughters]]].	Genesis
Acts 21:9	Philip had four daughters [who were not married]. Philip’s daughters told God's messages to people.	Acts
1 Samuel 23:2	Then David asked Yahweh, ["Should I(David) attack those Philistines?"] Yahweh answered David, ["You(David) (imp) go].  And you(David) (imp) attack those Philistines.  And you(David) (imp) save the people [who are in Keilah]."	1_Samuel
Daniel 9:18	You(Lord) (imp) listen to us(people). You(Lord) (imp) look at your(Lord's)city. No person lives in that city now. We(people) pray to you(Lord) [because you(Lord) are merciful].	Daniel
Matthew 10:40	_paragraph A person [who accepts you(followers)] accepts me(Jesus). And a person [who accepts me(Jesus)] accepts God [who sent me(Jesus)].	Matthew
Joshua 10:33	A man named Horam was the king of Gezer.  [While the Israelites were fighting the people [that were living in Lachish]] Horam and Horam's soldiers went to Lachish [so that Horam and Horam's soldiers could help those people]. But Joshua also defeated Horam and Horam's army. Joshua and Joshua's soldiers killed all of the soldiers [that were in Horam's army].	Joshua
2 Samuel 3:38	Then David said to David's officers, ["A great leader died today in Israel].	2_Samuel
Daniel 11:31	The king's soldiers will go to the temple of God. Those soldiers will defile the temple. Then the temple will not be holy. The soldiers will not allow [people to give sacrifices to God]. The soldiers will build a terrible thing in the temple.	Daniel
Joshua 8:26	Joshua continued pointing Joshua's spear at Ai [until the Israelites finished killing all of the people [that were living in Ai]].	Joshua
