reference	verse	book
Jonah 2:1	[While Jonah was inside the fish,] Jonah prayed to Yahweh [, who was Jonah’s God].	Jonah
Genesis 46:6	Jacob also took Jacob's livestock and all the things [that Jacob obtained [while Jacob lived in Canaan]]. Thus Jacob went to Egypt with all Jacob's descendants.	Genesis
1 Samuel 20:31	You(Jonathan) will not become the king [while the son of Jesse is living]. So you(Jonathan) (imp) send a servant now [to bring David to me(Saul)]. David must die!"	1_Samuel
Esther 6:4	At that time Haman entered the courtyard of the palace. Haman wanted [to ask [the king to hang Mordecai]]. The king heard [a man walking in the courtyard]. So the king said, ["Who is in the courtyard?"]	Esther
Acts 17:19	Then those teachers led Paul to a place [where people meet]. That place was named Areopagus. Then those teachers said to Paul, ["We(teachers)  want [to understand this new message [which you(Paul) proclaim]]].	Acts
Mark 3:1	(title) Jesus heals a man's hand on the Sabbath. (paragraph) One day _implicit, Jesus went into the Jewish church again. And a man [who had a sick/shriveled hand] was at that place.	Mark
Nehemiah 3:30	A man named Hananiah [who was a son of Shelemiah] and a man named Hanun [who was the sixth son of Zalaph] repaired the next part of the wall. A man named Meshullam [who was a son of Berekiah] repaired the part of the wall [that was in-front-of Meshullam’s house].	Nehemiah
Matthew 17:17	_paragraph (rhetorical) Jesus asked the crowd _implicit, ["You(people), group/generation [who does not believe in God _implicit] [and who is evil], how-long will I(Jesus) stay with you(people)?] (statement) Jesus said to the crowd _implicit, ["You(people), group/generation [who does not believe in God _implicit] [and who is evil], I(Jesus) do not want [to continue staying with you(people)]"]. (rhetorical) How-long must I(Jesus) continue to be patient-B with you(people)? (statement) [I(Jesus) continue being patient-B with you(people)] is hard-B. You(man) (imp) bring the boy _frameInferable to me(Jesus)."	Matthew
Nehemiah 13:29	My(Nehemiah's) God, you(God) (imp) remember these men. These men caused [the group of priests to stop being clean]. And these men caused [the special agreement/covenant [that God made with the priests and the people [that are in the tribe named Levi]] to stop being clean].	Nehemiah
1 Samuel 23:29	Then David left the Desert named Maon. And David lived in the caves [that were in En-Gedi].	1_Samuel
Daniel 5:16	I(King) have heard [that you(Daniel) are able [to understand the meaning of dreams]]. And I(king) have heard [that you(Daniel) are able [to explain mysteries]]. Are you(Daniel) able [to read these words]? And are you(Daniel) able [to tell me(king) about the meaning of these words]? [If you(Daniel) are able [to explain this message to me(king)]] then I(king) will give purple clothes to you(Daniel). And I(king) will give a gold necklace to you(Daniel). I(king) will make [you(Daniel) become the third ruler in this kingdom]."	Daniel
Daniel 5:12	This man was very clever. And this man understood many things. This man was able [to understand the meaning of dreams]. This man was able [to explain mysteries]. And this man answered many questions. This man's name is Daniel. But you(king) call this man Belteshazzar. You(king) (imp) call Daniel now. Daniel will tell you(king) about the meaning of this message."	Daniel
Nehemiah 12:36	Shemaiah, Azarel, Milalai, Gilalai, Maai, Nethanel, Judah, and Hanani worked with Zechariah. Those men also followed Zechariah. Those men carried instruments [just like David [who was God’s man] told [people to carry instruments]]. Ezra [who taught the religious laws to the people _implicit] lead all of those people.	Nehemiah
1 Samuel 22:5	But a prophet named Gad said to David, ["You(David) (imp) do not stay in the cave]. You(David) (imp) go to Judah." So David left the cave. And David went to the forest [that was in Hereth].	1_Samuel
Matthew 5:14	(paragraph) You(people) be-X the light of the world. A town [that is on a hill] is not able-B [to be hidden by people _implicitActiveAgent] .	Matthew
Nehemiah 8:2	So on the first day of the seventh month the priest named Ezra brought Moses' Book-of-the-Law to the crowd of people. Those people included men, women, and all of the other people [that were able [to understand those laws]].	Nehemiah
Matthew 12:16	Jesus warned those people [to not tell other people about Jesus].	Matthew
