reference	verse	book
Acts 19:13	Some Jews went to many different places [in order to tell [evil spirits to leave people]. And [when some of those Jews said the Lord Jesus' name] God caused [the evil spirits [to leave those people]. Those Jews said to the evil spirits, ["We(Jews) say the name of Jesus [about whom Paul preaches]. So you(demons) must leave this person.”]	Acts
2 Samuel 19:15	Then the king started walking toward Jerusalem. The king came to the Jordan River. The men [that were in the tribe named Judah] came to Gilgal [in order to meet the king]. Those men wanted [to help [the king go across the Jordan River]].	2_Samuel
Mark 14:57	(paragraph) Then some people stand-up-A in-front-of the Sanhedrin _implicit. And those people said a false thing [that was about Jesus].	Mark
Daniel 7:10	A river of fire flowed in front of this person. Thousands of people served this person. Many thousands of people stood in front of this person. Another person opened some books. And the court began.	Daniel
Genesis 31:48	Then Laban said to Jacob, ["These stones will remind us(Laban) [that I(Laban) allowed [you(Jacob) to leave]] [and that you(Jacob) promised [to treat my(Laban's) daughters kindly]]]."	Genesis
Genesis 17:8	Now you(Abram) are a foreigner [that is living in Canaan]. but I(God) will give this land to you(Abram) and to your(Abram's) descendants. You(Abraham) will own this land forever.  And I(God) will be the God of your(Abram's) descendants.	Genesis
Matthew 5:26	I(Jesus) tell you(people) the truth. You(person) will not come-out from that prison _implicit [until you(person) pay all of the money [that you(person) must pay] ].	Matthew
2 Samuel 12:14	But [because you(David) did not respect Yahweh] your(David's) son [who was born] will die."	2_Samuel
Acts 16:26	Suddenly, the ground shook very strongly. And the floor of the prison also shook. So all of the doors of the prison opened. And the chains [that tied the people [who were in prison]] became loose.	Acts
Joshua 21:34	The Israelites also gave towns to the families [that were Merar's descendants]. ( Those families were the last families [that were in the tribe named Levi]. ) The tribe named Zebulun gave the towns named Jokneam and Kartah to those families.	Joshua
Matthew 15:23	_paragraph Jesus did not answer. So Jesus's followers/disciples came to Jesus _implicit. And Jesus's followers/disciples said/urge to Jesus, ["You(Jesus) (imp) tell that woman [that woman to leave]]. For that woman is repeatedly cry-out to us(followers) _incl."	Matthew
1 Samuel 12:24	But you(Israelites) must always fear Yahweh. And you(Israelites) must always serve Yahweh faithfully with all your(Israelites’) heart. You(Israelites) (imp) remember the great things [that Yahweh did for you(Israelites)].	1_Samuel
