reference	verse	book
1 Samuel 1:23	Hannah's husband named Elkanah said to Hannah, ["You(Hannah) may stay at our(Elkanah's) house [until the boy is able [to eat food]]]. I(Elkanah) hope [that Yahweh will help you(Hannah)]." So Hannah stayed at Hannah's house [in order to feed/nurse Hannah's son]. Hannah fed/nursed Hannah's son [until Hannah's son was able [to eat food]].	1_Samuel
Genesis 19:2	Lot said to the 2 angels, ["Please you(angels) (imp) come to my(Lot's) house.] You(angels) (imp) sleep at my(Lot's) house tonight. You(angels) will be able [to wash your(angels’) feet]. Then tomorrow you(angels) will continue traveling." The 2 angels answered Lot, ["No.]  We(angels) will sleep in the place [where the people [who live in this city] meet].	Genesis
Genesis 41:22	Later I(king) dreamed again. I(king) saw [wheat growing in a field]. I(king) saw 7 plants [that were big].  Those 7 plants had much grain.	Genesis
Matthew 22:38	This command/commandment is the greatest command/commandment. And this command/commandment is the most important command/commandment.	Matthew
Esther 7:1	So the king and Haman went to the feast [that Esther prepared].	Esther
Genesis 33:4	Then Esau ran to Jacob. and Esau hugged Jacob. Then Esau kissed Jacob. and Esau and Jacob cried.	Genesis
Matthew 24:33	Similarly, [when you(followers) see [these events happening],] you(followers) will know [the time [that (implicit-situational) the Son-of-man _1stAs3rd will return-B at] will be-E soon]. (literal) You(followers) will know [the Son-of-man _1stAs3rd is already _implicit at the door _frameInferable[ because (implicit-situational) the Son-of-man _1stAs3rd is ready [to come inside the house _frameInferable]]]. (dynamic) The Son-of-man _1stAs3rd will be-U like a person [who is at the door _frameInferable] [and who (implicit-situational) is ready [to come inside the house _frameInferable]].	Matthew
Matthew 26:28	(primary) Then Jesus said, ["This wine is-X my(Jesus's) blood]. (meaning-1) Then Jesus said, ["This wine is-B my(Jesus's) blood]. My(Jesus's) blood is the blood [that God _implicitNecessary uses [in order to make-C the special agreement]]. My(Jesus') blood will pour-out for many people [so that the bad-B actions of people _generic would be forgiven by God _implicitActiveAgent]. (footnote) Some copies/manuscripts of this part of the Scriptures say, ["My(Jesus's) blood is the blood [that God _implicitNecessary uses [in order to make-C the new special agreement]]."]	Matthew
Genesis 17:1	-Title Yahweh makes a covenant with Abram. [When Abram was 99 years old] Yahweh appeared to Abram. and Yahweh said, ["I(Yahweh) am God-Almighty]. You(Abram) (imp) serve me(Yahweh). and you(Abram) be righteous.	Genesis
Matthew 6:4	Thus you(person) should give money or other things to poor people secretly . Then-D your(person’s) Father [ who sees the actions _implicitNecessary [that are done by people _implicitActiveAgent secretly]] will reward you(person) .	Matthew
Daniel 12:9	The angel said to me(Daniel), ["Daniel, you(Daniel) may go now]. I(angel) will not say more words [until time ends].	Daniel
2 Samuel 14:6	I(woman) am your(David's) servant.  I(woman) had 2 sons. Those two sons fought each-other(sons) in a field. No person caused [my(woman's) sons to stop fighting]. Then one son killed the other son.	2_Samuel
Genesis 29:19	Laban said, ["Yes.]  I(Laban) want [you(Jacob) to marry Rachel].  I(Laban) do not want [Rachel to marry another man].  So you(Jacob) (imp) stay with me(Laban).  You(Jacob) (imp) work for me(Laban) for 7 years.  Then I(Laban) will allow [you(Jacob) to marry Rachel]”.	Genesis
Joshua 10:16	[While the Israelites were fighting those armies] the 5 kings ran away. Then those kings hid in a cave [that was near Makkedah].	Joshua
Mark 5:39	Jesus went into the house. And (rhetorical) Jesus asked, ["Why are you(people) making much noise?] And (statement) Jesus said, ["You(people) should not make much noise]. (rhetorical) And why are you(people) crying/weep loudly? (statement) And you(people) should not cry/weep loudly. This girl is not dead. Instead, this girl is sleeping."	Mark
Genesis 2:12	The gold in Havilah is very good.  There are also other valuable gems and expensive perfumes in Havilah.	Genesis
Mark 4:32	But [after that seed is planted by a person _implicitActiveAgent] that seed grows. And that plant becomes bigger than all _hyperbolic other plants [that grow in a garden]. That plant will have big branches [so that birds _frameInferable could make nests on the plant's branches _implicit in that plant's shadow _inLDV]."	Mark
Esther 1:15	The king asked these men, ["How will I(Xerxes) punish the queen?] What does the law say? I(Xerxes) want [to punish the queen] [because the queen did not do all the things [that I(Xerxes) said]]."	Esther
Matthew 22:22	_paragraph [When those people heard Jesus's words,] those people were extremely surprised/amazed. Then those people left Jesus. And those people walk-away.	Matthew
Genesis 40:13	After 3 days the king will allow [you(man) to leave this prison]. and the king will allow [you(man) to work for the king again]. You(man) will make wine for the king [just-like you(man) made wine for the king [before you(man) came to this prison]].	Genesis
2 Samuel 6:20	Then David returned to David's house [in order to bless David’s family]. But Saul’s daughter named Michal came to David. And Michal said to David, ["You(David) are the king of  Israel]. But you(David) were foolish today! You(David) took off your(David's) shirt in front of your(David’s) officials’ female slaves. And you(David) danced in front of the servants. You(David) were like a crazy man!"	2_Samuel
2 Samuel 16:14	Later the king and all of the people [that were following the king] arrived at the Jordan River. Those people were very tired. So those people rested at that place.	2_Samuel
Matthew 23:14	(footnote) A few copies/manuscripts of this part of the Scriptures include verse 14. Verse 14 is similar to Mark 12:40. That verse says, ["Those people/scribes take property from women [who had a husband [who died]]]. And those people/scribes pray long prayers publicly _implicit [so that other people would see [those people/scribes praying]]. Therefore _implicit those people/scribes will be much punished by God _implicitActiveAgent."	Matthew
1 Samuel 16:5	Samuel answered, ["I(Samuel) came to this town [in-order-to give a gift/sacrifice to Yahweh]]. Consecrate You(leaders) must do all of the things [that God requires [you(leaders) to do]] [so that you(leaders) could become holy]. Then you(leaders) may watch [me(Samuel) give the gift/sacrifice]." Then Samuel consecrated helped [Jesse and the sons of Jesse to prepare for the gift/sacrifice]. Then Samuel invited [Jesse and Jesse’s sons to go to the altar with Samuel].	1_Samuel
2 Samuel 18:20	But Joab said to Ahimaaz, ["You(Ahimaaz) must not talk to David today]. You(Ahimaaz) may tell news to David on another day. But you(Ahimaaz) must not go to the king today [because the king’s son is dead]."	2_Samuel
Acts 18:17	Then all those people caught the leader of the Synagogue named Sosthenes. And those people beat Sosthenes in front of the court. And that judge saw [those people beating Sosthenes].  But Gallio was not concerned.	Acts
Genesis 37:29	Later Reuben returned to that well. Then Reuben saw [that Joseph was not in the well]. So Reuben tore Reuben's clothes [because Reuben was very upset about Joseph].	Genesis
Matthew 26:61	And those people _dual said/declare, ["This man said, ["I(Jesus) am able [to destroy-A God's building/temple ]]]. And I(Jesus) am able [to build the building/temple _frameInferable [before 3 days pass]].""	Matthew
Genesis 1:14	And God said, ["Let a light be in the sky during the day].  Let another light be in the sky during the night.  These lights will show [that a new day, month or year has begun].	Genesis
Genesis 40:2	The king became very angry with these 2 officers.	Genesis
Matthew 6:11	(literal) You(Father) (imp) give to us(people) today the bread [that we(people) need on each day]. (dynamic) You(Father) (imp) give to us(people) today the food [that we(people) need on each day].	Matthew
Ruth 1:4	Naomi's sons grew up. And Naomi's sons became men. Then these sons married women [that were from Moab]. One son married a woman named Orpah. The other son married a woman named Ruth. [after Naomi's sons married women], Naomi lived in Moab for ten years with Naomi's sons.	Ruth
Matthew 20:14	You(worker) (imp) take your(worker's) denarius. And you(worker) (imp) leave. I(man) want [to give an equal amount of money to the people/workers [who began to work last]].	Matthew
Genesis 25:29	On one day Jacob was cooking a food. At that time Esau returned from the fields [where Esau was hunting animals].  Esau was extremely hungry.	Genesis
Daniel 4:31	[While the king was still speaking] the king heard a voice [that was in heaven]. The voice said to the king, ["King Nebuchadnezzar, I(God) am speaking to you(Nebuchadnezzar)]. I(God) will take away this kingdom from you(Nebuchadnezzar) soon.	Daniel
1 Samuel 9:19	Samuel answered, ["I(Samuel) am the man [who sees]]. You(Saul) (imp) go to the place [that the people worship God at]. Today you(Saul) and your(Saul's) servant will eat with me(Samuel). Tomorrow I(Samuel) will send you(Saul) to your(Saul's) house. And I(Samuel) will answer your(Saul's) questions.	1_Samuel
2 Samuel 18:33	The king (implicit-info) knew [that Absalom was dead]. Then David became very upset. David went to the room [that was above the city gate]. And David cried/wept. [While David was walking to that room] David was saying, ["My(David's) son named Absalom,  my(David) son named Absalom]. I(David) wish [that I(David) died instead of you(Absalom)]. Absalom, my(David's) son, my(David's) son!"	2_Samuel
Acts 3:13	The God of Abraham, the God of Isaac, the God of Jacob, and the God of our(people) fathers has honored God's servant [who is Jesus]. You(people) took Jesus to Pilate. But Pilate decided [to free Jesus]. And you(people) told Pilate [that you(people) did not want Jesus].	Acts
Genesis 27:39	So Isaac said to Esau, ["You(Esau) will live far-away-from the best land].  The weather will not be enough rain.	Genesis
Nehemiah 11:8	And two men named Gabbai and Sallei followed Sallu. 928 men [who were people/descendants of Benjamin] lived in Jerusalem.	Nehemiah
Genesis 19:23	-Title Yahweh destroys Sodom and Gomorrah. At noon Lot entered Zoar.  -Alternate [After the sun rose] Lot entered Zoar.	Genesis
Genesis 39:18	But [when that slave came towards me(wife)] I(wife) screamed. Then that slave ran from this house. but that slave left the slave's coat."	Genesis
Genesis 35:17	But [while Rachel was giving birth to the baby] Rachel had much trouble. So Rachel's nurse said to Rachel, ["You(Rachel) (imp) do not be afraid.] You(Rachel) are giving birth to another son."	Genesis
Genesis 40:22	But the king hanged the man [who baked bread for the king] in a tree. Thus Joseph explained these 2 dreams correctly.	Genesis
Matthew 24:5	(literal) For many people will come with my(Jesus's) name _InstrumentArg of the authority _metonymy. (dynamic) For many people will say [those people came with my(Jesus's) name _InstrumentArg of the authority _metonymy]. And those people will say, ["I(person) am the Christ "]. And those people will deceive many people _otherThingList.	Matthew
Acts 1:12	-Title A new apostle is chosen by the apostles. Then the apostles returned from the Mountain named Olives to Jerusalem.  This mountain is about one kilometer from Jerusalem.	Acts
2 Samuel 5:6	David (title) defeats/captures Jerusalem. [When (implicit-info) David became the king of Israel] the Jebusites were living in Jerusalem. David and David's soldiers went/marched to Jerusalem [in order to attack the Jebusites].  But the Jebusites said to David, ["You(David) are not able [to enter our(Jebusites') city]]. A person [who is not able [to see things]] is able [to prevent [you(David) from entering this city]]. And a person [who is not able [to walk]] is able to [prevent [you(David) from entering this  city]].  The Jebusites thought, ["David was not able [to enter this city]]."	2_Samuel
Nahum 1:3	Yahweh becomes angry slowly. But Yahweh has a lot of power. Yahweh will punish the people [who do bad things]. [When Yahweh marches,] people see winds and storms. [When Yahweh walks,] the clouds are like the dust [that is under Yahweh's feet].	Nahum
Matthew 4:2	[After Jesus fasted at that place _implicit for 40 days and 40 nights,] Jesus became hungry.	Matthew
